Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",402,2,7pF,C2991471
"C10, C11, C12, C19, C2, C20, C22, C25, C26, C27, C3, C32, C38, C39, C4, C40, C41, C46, C5, C52, C53, C8, C9",402,23,0.1uF,C307331
"C13, C30, C33, C34, C37",402,5,10uF,C15525
"C14, C15, C16, C23",402,4,4.7uF,C23733
"C17, C18, C21, C28, C29, C31",402,6,0.47uF,C47339
C24,402,1,4.7nF,C1538
"C35, C36",402,2,1uF,C52923
"C42, C45, C48, C49",603,4,10uf,C96446
C43,603,1,1uf,C15849
C44,603,1,0.1uf,C14663
C47,402,1,470pf,C1537
C50,603,1,2.2uf,C23630
C51,402,1,8.2nf,C307436
C54,603,1,22uf,C59461
C6,402,1,220pF,C1530
"D1, D3, LED1",402,3,LED 0402,C364556
"D2, D4, LED2",402,3,LED 0402,C130724
"D5, D6",D_SMA,2,ss34,C8678
F1,603,1,0.5A,C207014
"FB1, FB2",402,2,Ferrite_Bead,C88970
"FB3, FB4, FB5, FB6, FB7, FB8",402,6,Ferrite_Bead,C193387
IC1,SOIC127P600X175-9N,1,TP4056,C16581
IC2,TPS61088QRHLRQ1,1,TPS61088QRHLRQ1,C87357
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
"J3, J4",JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,2,EC_Sensor_Input_3_Pin,C265101
L1,L_7.3x7.3_H4.5,1,2.2uH,C2847481
"R1, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22",402,11,0,C163804
R10,402,1,47.5K,C25896
"R11, R12, R23, R28, R29",402,5,1K,C11702
"R2, R3",402,2,2.2,C25101
"R24, R25, R36, R37",603,4,1K,C21190
"R26, R27",603,2,10k,C25804
R30,402,1,1.2K,C25768
R31,402,1,23.7k,C327362
R32,402,1,105k,C3015669
R33,402,1,69.8k,C26985
R34,402,1,267k,C159057
R35,402,1,220k,C25767
R4,402,1,200,C25087
R5,402,1,100k,C25741
R6,402,1,1M,C26083
"R7, R8",402,2,5K1,C25905
R9,402,1,22.1K,C25768
Rprog1,603,1,1.2K,C25768
SW1,Tactile 3x4x2mm TS-A010,1,SW_Push,C455280
"SW2, SW3",Tactile 3x4x2mm TS-A010,2,TS-1088R-02526 ,C455280
U1,aducm355,1,aducm_355,C660220
U2,SOT-666,1,USBLC6-2P6,C15999
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-A01-GQFN28,C6568
U4,LFCSP_8Lead_CP_8_21,1,ADM7154,C209353
U6,SOT-363_SC-70-6,1,2N7002DW,C83571
Y1,Crystal_SMD_Abracon_ABM10-4Pin_2.5x2.0mm,1,32MHz,C337674
