Designator,Mid X,Mid Y,Rotation,Layer
C1,68.725,-47.243,180.0,top
C10,74.26,-56.96,270.0,top
C11,73.74,-43.01,0.0,top
C12,67.94,-39.41,0.0,top
C13,73.76,-42.0,0.0,top
C14,78.55,-49.73,0.0,top
C15,78.57,-52.81,180.0,top
C16,78.56,-50.72,0.0,top
C17,74.3,-46.64,90.0,top
C18,75.24,-56.96,270.0,top
C19,78.55,-48.73,180.0,top
C2,81.11,-46.57,180.0,top
C20,78.57,-53.8,180.0,top
C21,71.68,-56.258,270.0,top
C22,76.28,-46.64,90.0,top
C23,76.22,-56.96,270.0,top
C24,28.55,-31.51,0.0,top
C25,72.67,-56.258,270.0,top
C26,31.68,-32.34,180.0,top
C27,70.59,-52.998,180.0,top
C28,71.2,-46.662,90.0,top
C29,75.28,-46.65,90.0,top
C3,81.06,-44.01,180.0,top
C30,52.25,-59.59,180.0,top
C31,70.59,-51.998,180.0,top
C32,52.25,-60.58,180.0,top
C33,66.47,-37.0,180.0,top
C34,70.23,-38.52,180.0,top
C35,72.67,-34.97,90.0,top
C36,66.48,-36.02,180.0,top
C37,71.73,-40.72,270.0,top
C38,81.1675,-36.17,180.0,top
C39,81.52,-56.5,180.0,top
C4,80.75,-49.41,180.0,top
C40,61.32,-50.25,180.0,top
C41,61.29,-54.86,180.0,top
C42,29.06,-69.4,180.0,top
C43,29.05,-67.85,180.0,top
C44,33.02,-68.62,270.0,top
C45,35.41,-33.01,180.0,top
C46,60.49,-40.25,0.0,top
C47,52.18,-32.04,180.0,top
C48,59.915,-38.98,0.0,top
C49,59.915,-37.45,0.0,top
C5,81.08,-52.13,180.0,top
C50,50.41,-36.69,90.0,top
C51,59.35,-36.15,0.0,top
C52,56.03,-40.23,180.0,top
C53,56.23,-32.69,270.0,top
C54,57.48,-32.13,270.0,top
C6,78.57,-54.782,0.0,top
C7,67.81,-51.47,180.0,top
C8,72.19,-46.662,90.0,top
C9,73.17,-46.662,90.0,top
D1,63.15,-57.34,0.0,top
D2,63.16,-58.35,0.0,top
D3,21.72,-45.51,180.0,top
D4,21.72,-46.49,180.0,top
D5,40.9925,-33.96,0.0,top
D6,60.1,-31.79,270.0,top
F1,32.03,-33.89,180.0,top
FB1,72.92,-38.43,90.0,top
FB2,70.05,-40.45,0.0,top
FB3,83.0775,-37.24,180.0,top
FB4,83.155,-39.2,180.0,top
FB5,83.13,-41.24,180.0,top
FB6,83.44,-57.5,180.0,top
FB7,83.48,-60.04,180.0,top
FB8,83.55,-61.66,180.0,top
IC1,40.77,-38.58,180.0,top
IC2,54.77,-36.73,90.0,top
J1,22.75,-37.64,270.0,top
J2,32.84,-28.39,0.0,top
J3,95.92,-39.22,90.0,top
J4,95.92,-59.66,90.0,top
J5,39.85,-28.39,0.0,top
J7,60.74,-69.94,90.0,top
L1,56.12,-44.76,180.0,top
LED1,21.72,-43.52,0.0,top
LED2,21.72,-44.52,0.0,top
R1,73.71,-44.49,0.0,top
R10,54.8,-62.94,270.0,top
R11,55.81,-62.94,90.0,top
R12,60.9825,-57.32,0.0,top
R13,81.1375,-37.24,180.0,top
R14,81.23,-39.22,180.0,top
R15,81.19,-41.24,180.0,top
R16,81.09,-45.01,180.0,top
R17,81.12,-47.6,180.0,top
R18,81.62,-61.66,0.0,top
R19,81.55,-60.04,0.0,top
R2,72.91,-40.46,270.0,top
R20,81.5,-57.51,180.0,top
R21,80.77,-50.41,180.0,top
R22,81.11,-53.14,180.0,top
R23,60.9825,-58.32,0.0,top
R24,61.89,-51.51,180.0,top
R25,61.89,-53.04,180.0,top
R26,31.4,-68.63,270.0,top
R27,50.28,-51.41,270.0,top
R28,23.9,-45.48,180.0,top
R29,23.8975,-46.48,180.0,top
R3,68.02,-40.45,180.0,top
R30,23.9,-44.44,180.0,top
R31,52.19,-31.02,0.0,top
R32,52.21,-33.08,0.0,top
R33,52.11,-29.64,180.0,top
R34,53.36,-40.29,180.0,top
R35,57.16,-29.18,180.0,top
R36,70.23,-61.2,270.0,top
R37,66.84,-61.3,270.0,top
R4,78.58,-51.71,180.0,top
R5,70.74,-44.482,0.0,top
R6,31.41,-41.85,0.0,top
R7,31.16,-36.01,90.0,top
R8,31.79,-39.84,0.0,top
R9,53.8,-62.94,90.0,top
Rprog1,42.53,-42.7,180.0,top
SW1,68.2,-57.028,270.0,top
SW2,44.56,-68.73,180.0,top
SW3,38.61,-68.77,0.0,top
U1,73.772,-52.754,270.0,top
U2,32.16,-38.1325,0.0,top
U3,56.42,-58.82,0.0,top
U4,69.69,-36.25,180.0,top
U5,56.63,-52.5,0.0,top
U6,61.21,-60.52,0.0,top
U7,35.56,-56.85,90.0,top
U8,74.93,-49.5,0.0,top
Y1,68.67,-49.388,270.0,top
